Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot63,"Cabbit",normal,7,Pending,"Стрельба по баночкам","Zone Sandbox_2_AGS_exploration","1","21:42:16","N/A",
Bot65,"LunnayaLuna",normal,20,Pending,"Стрельба по баночкам","Zone Sandbox_2_Kord_exploration","1","21:42:16","N/A",
Bot62,"Barlog_M",normal,11,Active,"Стрельба по баночкам","Zone Sandbox_2_AGS_exploration","1","21:42:16","N/A",
Bot68,"Rena-chan",normal,7,Pending,"Спасение крота","Zone Sandbox_5_DeadGroup_exploration","1","21:42:16","N/A",
Bot66,"ObiOne",normal,18,Active,"Спасение крота","Zone Sandbox_5_DeadGroup_exploration","1","21:42:16","N/A",
Bot64,"redlaser42",normal,20,Active,"Tarbank Upstairs","Tarbank Upstairs: Objective #2","1","21:42:17","N/A",
Bot67,"Big Chungus",normal,10,Pending,"Спасение крота","Zone Sandbox_5_DeadGroup_exploration","1","21:42:17","N/A",
[Not Spawned],"egbog",easy,6,,,,,,,
[Not Spawned],"Фима Клюй",normal,1,,,,,,,
[Not Spawned],"Кэл Жислый",normal,1,,,,,,,
[Not Spawned],"Святополк Протокол",normal,1,,,,,,,
[Not Spawned],"Захар Бесовской",normal,1,,,,,,,
[Not Spawned],"Санёк Хантер",normal,1,,,,,,,
[Not Spawned],"Прокопий Волчара",normal,1,,,,,,,
[Not Spawned],"Диман Панцер",normal,1,,,,,,,
[Not Spawned],"Веня Крезибамп",hard,1,,,,,,,
[Not Spawned],"Пахан Квейк",easy,1,,,,,,,
[Not Spawned],"Кэл Работяга",impossible,1,,,,,,,
[Not Spawned],"Баха Ювелир",impossible,1,,,,,,,
[Not Spawned],"Анатолий Ботан",normal,1,,,,,,,
[Not Spawned],"Сёма Мозголюб",easy,1,,,,,,,
[Not Spawned],"Фетч Центровой",easy,1,,,,,,,
[Not Spawned],"Коля Зверь",easy,1,,,,,,,
