Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot66,"Doge",easy,47,Failed,"Первый в очереди","Zone Sandbox_1_MedicalArea_exploration","1","21:28:45","21:32:48",
Bot65,"YankeeNoodle742",impossible,48,Failed,"Стрельба по баночкам","Zone Sandbox_2_Kord_exploration","1","21:28:45","21:34:41",
Bot67,"HereticJ",impossible,38,Failed,"Что-то мне это напоминает...","Zone zone_computer","1","21:28:45","21:35:47",
Bot69,"jfetko",easy,31,Completed,"Стрельба по баночкам","Zone Sandbox_2_AGS_exploration","1","21:28:45","21:36:39",
Bot69,"jfetko",easy,31,Failed,"Стрельба по баночкам","Zone Sandbox_2_Kord_exploration","1","21:37:40","21:41:24",
Bot68,"Kilgor616",normal,47,Failed,"Что-то мне это напоминает...","Zone zone_six_chair","1","21:28:45","21:28:46",
Bot68,"Kilgor616",normal,47,Failed,"Что-то мне это напоминает...","Zone zone_computer","1","21:28:47","21:30:30",
Bot71,"itsMickle",easy,46,Failed,"Capital Insight","Capital Insight: Objective #2","1","21:29:16","21:33:28",
Bot74,"Clownmaster1995",easy,45,Failed,"TerraGroup Garage","TerraGroup Garage: Objective #1","1","21:29:35","21:30:08",
Bot77,"Borkel",normal,37,Failed,"Спасение крота","Zone Sandbox_5_DeadGroup_exploration","1","21:30:39","21:33:33",
Bot79,"Nightingale",normal,44,Failed,"Спасение крота","Zone Sandbox_5_DeadGroup_exploration","1","21:30:48","21:34:22",
Bot82,"IcyClawz",normal,47,Failed,"Первый в очереди","Zone Sandbox_1_MedicalArea_exploration","1","21:32:50","21:36:03",
Bot98,"Сава Секретарь",easy,1,Active,"Emercom Checkpoint","Emercom Checkpoint: Objective #1","1","21:42:51","N/A",
Bot99,"Офицерский Свинец",normal,1,Failed,"Mira Avenue Benches","Mira Avenue Benches: Objective #2","1","21:43:12","21:44:07",
Bot99,"Офицерский Свинец",normal,1,Active,"Mira Avenue Benches","Mira Avenue Benches: Objective #1","1","21:44:12","N/A",
Bot101,"Слава Хрыч",normal,1,Pending,"Skyside Hotel Outside","Skyside Hotel Outside: Objective #2","1","21:43:13","N/A",
Bot100,"Женя Додик",normal,1,Pending,"Skyside Hotel","Skyside Hotel: Objective #1","1","21:43:13","N/A",
[Not Spawned],"Пафнутий Кожемяка",normal,1,,,,,,,
[Not Spawned],"Тоха Красносельский",normal,1,,,,,,,
[Not Spawned],"Гоги Чебурашка",normal,1,,,,,,,
[Not Spawned],"Макс Морисбудиш",normal,1,,,,,,,
[Not Spawned],"Харитон Новгородский",normal,1,,,,,,,
[Not Spawned],"Зураб Нежный",normal,1,,,,,,,
[Not Spawned],"Эльдар Гефорс",normal,1,,,,,,,
[Not Spawned],"Агафон Сухогруз",easy,1,,,,,,,
[Not Spawned],"Потап Злой",easy,1,,,,,,,
[Not Spawned],"Гиви Пипетка",normal,1,,,,,,,
[Not Spawned],"Сашок Абуза",normal,1,,,,,,,
[Not Spawned],"Анатолий Суперспецназ",normal,1,,,,,,,
[Not Spawned],"Коля Мурманский",easy,1,,,,,,,
[Not Spawned],"Гарри Сигаретка",easy,1,,,,,,,
