Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot18,"HalfPotato",easy,18,Pending,"Ревизия. Улицы Таркова","Zone quest_zone_place_c14_revx_1","1","13:48:55","N/A",
Bot20,"白闲者",normal,11,Active,"IT Firm Office","IT Firm Office: Objective #9","1","13:48:55","N/A",
Bot16,"Spock",normal,15,Active,"Продразведка","Zone quest_produkt4","1","13:48:55","N/A",
Bot17,"Spring",easy,26,Completed,"Городской жандарм. Прерванный сеанс","Zone quest_zone_kill_cinema","1","13:48:55","13:50:53",
Bot22,"DevilFlippy",normal,41,Active,"Что-то мне это напоминает...","Zone Zone_death_strending","1","13:48:55","N/A",
Bot23,"Tyfon",easy,49,Completed,"Cardinal East Building","Cardinal East Building: Objective #1","1","13:48:55","13:49:15",
Bot23,"Tyfon",easy,49,Active,"Cardinal East Building","Cardinal East Building: Objective #2","1","13:49:20","N/A",
Bot21,"Traveler",normal,30,Pending,"Финансовая пирамида","Zone Bank_points_16","1","13:48:56","N/A",
Bot19,"SilverParsnip",easy,11,Pending,"Finance Building","Finance Building: Objective #4","1","13:48:56","N/A",
[Not Spawned],"RaiRaiTheRaichu",hard,51,,,,,,,
[Not Spawned],"Lavax",hard,15,,,,,,,
[Not Spawned],"nimanul",hard,21,,,,,,,
[Not Spawned],"Bnuy",normal,46,,,,,,,
[Not Spawned],"cardsmen",hard,5,,,,,,,
[Not Spawned],"Феликс Торч",normal,1,,,,,,,
[Not Spawned],"Валя Вортекс",normal,1,,,,,,,
[Not Spawned],"Сеня Крымский",normal,1,,,,,,,
[Not Spawned],"Дамирка Череп",impossible,1,,,,,,,
[Not Spawned],"Павлик Фриц",hard,1,,,,,,,
[Not Spawned],"Володя Чекист",normal,1,,,,,,,
[Not Spawned],"Андрей Фонарь",normal,1,,,,,,,
[Not Spawned],"Ваха Толич",normal,1,,,,,,,
[Not Spawned],"Ярик Морисбудиш",normal,1,,,,,,,
[Not Spawned],"Ромчик Флоу",easy,1,,,,,,,
[Not Spawned],"Юстин Бокс",easy,1,,,,,,,
[Not Spawned],"Яков Капелька",easy,1,,,,,,,
[Not Spawned],"Анфим Сухарик",normal,1,,,,,,,
[Not Spawned],"Аристарх Пукеш",normal,1,,,,,,,
[Not Spawned],"Никита Мальчик",normal,1,,,,,,,
[Not Spawned],"Петро Новгородский",normal,1,,,,,,,
[Not Spawned],"Глеб Кислый",easy,1,,,,,,,
[Not Spawned],"Игорь Слепой",normal,1,,,,,,,
[Not Spawned],"Андрей Балалайка",normal,1,,,,,,,
[Not Spawned],"Веня Соломон",normal,1,,,,,,,
[Not Spawned],"Витян Тиктокер",easy,1,,,,,,,
[Not Spawned],"Порфирий Стреляный",normal,1,,,,,,,
[Not Spawned],"Кэл Робокоп",normal,1,,,,,,,
[Not Spawned],"Ричи Вортекс",normal,1,,,,,,,
