Quest Name,Objective,Steps,Min Level,Max Level,First Step Position
Аудит,"Item Бухгалтерские записи",1,17,39,"(-177.12, 6.12, 227.13)"
Техосмотр,"Item Защищенный флеш-накопитель",1,35,70,"(67.42, 6.88, 302.63)"
Вам посылка,"Item Заказное письмо",1,15,35,"(36.36, 1.22, 127.17)"
Любитель балета,"Zone quest_zone_c5_mar",1,20,45,"(46.71, 11.73, 152.04)"
Слава КПСС. Часть 1,"Zone quest_zone_c6_kpss",1,17,39,"(131.43, 6.70, 233.29)"
Меломан,"Zone quest_zone_c7_mel",1,25,53,"(42.98, 11.73, 151.46)"
Меломан,"Item Медиатор с символами AG",1,25,53,"(40.19, 11.73, 154.12)"
Домашний арест. Часть 1,"Zone quest_zone_c8_dom1",1,33,66,"(127.45, 9.94, 233.63)"
Домашний арест. Часть 2,"Zone quest_zone_c8_dom2",1,33,66,"(109.45, 6.88, 231.51)"
Домашний арест. Часть 2,"Zone quest_zone_c8_dom2_dead",1,33,66,"(106.39, 4.08, 222.46)"
Перепись населения,"Item Журнал ЖКУ",1,12,29,"(84.08, 0.91, 124.39)"
Городская медицина,"Zone quest_zone_c11_gmed",1,17,39,"(92.96, 2.65, 319.47)"
Городская медицина,"Item Хим. контейнер с образцами",1,17,39,"(96.84, 2.65, 320.10)"
Наблюдение,"Item Рабочий жесткий диск",1,25,53,"(208.44, -1.23, 412.69)"
Ревизия. Улицы Таркова,"Zone quest_zone_place_c14_revx_1",1,17,39,"(-136.99, 3.72, 440.74)"
Ревизия. Улицы Таркова,"Zone quest_zone_place_c14_revx_2",1,17,39,"(149.33, 4.88, 408.31)"
Ревизия. Улицы Таркова,"Zone quest_zone_place_c14_revx_3",1,17,39,"(2.19, 0.81, 30.80)"
Зеленый коридор,"Zone quest_zone_c16_koll_1",1,20,45,"(16.63, 2.29, 225.42)"
Зеленый коридор,"Zone quest_zone_c16_koll_2",1,20,45,"(62.18, 6.90, 272.84)"
Путь охотника. Администратор,"Zone quest_zone_kill_c17_adm",1,23,50,"(-92.57, 7.95, 121.58)"
Слежка,"Zone quest_zone_c21_look",1,20,45,"(-67.75, 5.14, 65.88)"
Слежка,"Item Цифровой носитель с результатами сьёмок",1,20,45,"(-68.95, 5.04, 68.75)"
Стрим. Часть 2,"Zone quest_zone_c25_cinem",1,15,35,"(157.28, 4.02, 314.67)"
Стрим. Часть 4,"Zone quest_zone_c27_sect",1,27,56,"(-130.80, 8.85, 269.74)"
Проезд закрыт,"Zone quest_zone_c16_koll_1",1,20,45,"(16.63, 2.29, 225.42)"
Проезд закрыт,"Zone quest_zone_c16_koll_2",1,20,45,"(62.18, 6.90, 272.84)"
Источник информации,"Zone quest_zone_place_c24_tigr1",1,33,66,"(-67.44, 2.14, 359.71)"
Источник информации,"Zone quest_zone_place_c24_tigr2",1,33,66,"(172.99, 3.50, 418.72)"
Пропавший информатор,"Zone quest_zone_keeper99",1,33,66,"(-130.40, 2.43, 396.47)"
Пропавший информатор,"Item Дневник информатора",1,33,66,"(-129.79, 2.39, 393.07)"
Наводчик,"Zone quest_zone_keeper8_1",1,33,66,"(219.38, 9.38, 397.57)"
Наводчик,"Zone quest_zone_keeper8_1_hide1",1,33,66,"(227.56, 9.38, 395.96)"
Наводчик,"Zone quest_zone_keeper8_2",1,33,66,"(36.98, 10.20, 88.17)"
Наводчик,"Zone quest_zone_keeper8_1_hide2",1,33,66,"(38.56, 12.17, 155.65)"
Городские разборки,"Zone quest_zone_c16_koll_1",1,33,66,"(16.63, 2.29, 225.42)"
Городские разборки,"Zone quest_zone_keeper10_place",1,33,66,"(10.02, 3.67, 218.10)"
Должник,"Zone quest_zone_c29_debt",1,31,62,"(-79.87, 5.66, 49.83)"
Стрим. Часть 3,"Zone quest_zone_c25_cinem2",1,20,45,"(-205.42, 2.40, 242.24)"
Продразведка,"Zone quest_produkt1",1,5,17,"(-204.31, 3.41, 181.22)"
Продразведка,"Zone quest_produkt2",1,5,17,"(153.74, 3.77, 299.51)"
Продразведка,"Zone quest_produkt3",1,5,17,"(-76.07, 1.50, 157.81)"
Продразведка,"Zone quest_produkt4",1,5,17,"(275.65, 3.38, 381.98)"
Городской жандарм. Охранник супермаркета,"Zone quest_zone_kill_stilo",1,21,47,"(-102.90, 5.15, -25.60)"
Городской жандарм. Прерванный сеанс,"Zone quest_zone_kill_cinema",1,21,47,"(-174.44, 14.22, 403.43)"
Городской жандарм. Новый участковый,"Zone quest_zone_kill_kardinal",1,21,47,"(134.00, 22.44, -42.84)"
Стрим. Часть 5,"Zone quest_zone_find_2st_mech",1,27,56,"(189.06, 0.35, 225.73)"
Стрим. Часть 5,"Zone quest_zone_hide_2st_mech",1,27,56,"(188.62, 0.26, 225.73)"
Дверь,"Zone quest_zone_find_sillent",1,15,35,"(185.13, 5.86, 54.83)"
Дверь,"Zone quest_zone_hide_sillent",1,15,35,"(183.93, 5.86, 53.96)"
Дверь,"Zone quest_zone_hide_sillent2",1,15,35,"(175.86, 6.59, 81.91)"
Фельдшер,"Item GPhone X фельдшера",1,17,39,"(158.45, 3.01, 455.21)"
Слава КПСС. Часть 2,"Zone quest_zone_find_2st_kpss2",1,22,48,"(247.34, -1.23, 52.42)"
Слава КПСС. Часть 2,"Item Журнал",1,22,48,"(246.13, -1.23, 58.14)"
Секреты идеального вкуса. Часть 1,"Item Дневник шеф-повара",1,22,48,"(-42.79, 9.64, -67.01)"
Секреты идеального вкуса. Часть 2,"Item Красная пробирка",1,22,48,"(-26.93, 6.63, -109.47)"
Инвентаризация. Часть 1,"Zone quest_zone_find_2st_med_invent1",1,12,29,"(223.79, 4.01, 171.72)"
Инвентаризация. Часть 1,"Zone quest_zone_find_2st_med_invent2",1,12,29,"(182.24, 1.78, 102.00)"
Финансовая пирамида,"Zone Bank_points_3",1,28,57,"(-51.10, 2.75, 454.62)"
Финансовая пирамида,"Zone Bank_points_4",1,28,57,"(-58.65, 2.70, 453.70)"
Финансовая пирамида,"Zone Bank_points_6",1,28,57,"(279.03, 3.41, 369.95)"
Финансовая пирамида,"Zone Bank_points_1",1,28,57,"(97.82, 0.35, -22.13)"
Финансовая пирамида,"Zone Bank_points_2",1,28,57,"(82.27, 0.42, -30.00)"
Финансовая пирамида,"Zone Bank_points_8",1,28,57,"(-161.01, 0.66, -47.39)"
Финансовая пирамида,"Zone Bank_points_9",1,28,57,"(-148.57, 5.15, -63.04)"
Финансовая пирамида,"Zone Bank_points_10",1,28,57,"(-35.08, 0.61, -69.70)"
Финансовая пирамида,"Zone Bank_points_13",1,28,57,"(-53.58, 0.61, -69.77)"
Финансовая пирамида,"Zone Bank_points_11",1,28,57,"(-114.07, 0.66, -12.44)"
Финансовая пирамида,"Zone Bank_points_12",1,28,57,"(-166.06, 1.07, -3.67)"
Финансовая пирамида,"Zone Bank_points_5",1,28,57,"(55.18, 2.85, 235.11)"
Финансовая пирамида,"Zone Bank_points_14",1,28,57,"(0.45, -3.73, -18.56)"
Финансовая пирамида,"Zone Bank_points_15",1,28,57,"(8.29, -3.73, 4.79)"
Финансовая пирамида,"Zone Bank_points_16",1,28,57,"(236.71, -2.10, -93.79)"
Секрет успеваемости. Часть 1,"Zone Office_enter",1,25,53,"(164.83, 0.76, 149.33)"
Секрет успеваемости. Часть 1,"Zone Office_quest",1,25,53,"(163.30, 1.07, 167.89)"
Секрет успеваемости. Часть 2,"Zone Hookah_quest",1,25,53,"(-211.47, 3.26, 297.72)"
Инвентаризация. Часть 2,"Zone Pharma_1",1,12,29,"(40.14, 2.75, 162.41)"
Инвентаризация. Часть 2,"Zone Pharma_2",1,12,29,"(-44.62, 3.26, 335.02)"
Инвентаризация. Часть 2,"Zone Pharma_3",1,12,29,"(90.37, 4.08, -275.32)"
Земельный вопрос,"Zone fond_quest",1,22,48,"(-54.88, 3.46, 458.36)"
Земельный вопрос,"Item Записи кадастрового реестра",1,22,48,"(-42.70, 6.88, 457.93)"
Стиляги,"Zone quest_zone_hide_barber1",2,33,66,"(206.61, 3.42, 411.78)"
Стиляги,"Zone quest_zone_hide_barber2",2,33,66,"(214.66, 3.41, 409.09)"
Отвлекающий маневр. Часть 1,"Zone quest_city_trotil2",2,3,13,"(67.84, 2.60, 311.92)"
