Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot119,"McDewgle",easy,20,Completed,"USEC Camp North","USEC Camp North: Objective #3","1","22:03:20","22:09:08",
Bot119,"McDewgle",easy,20,Completed,"USEC Camp North","USEC Camp North: Objective #1","3","22:09:13","22:10:24",
Bot119,"McDewgle",easy,20,Completed,"USEC Camp North","USEC Camp North: Objective #4","2","22:10:29","22:10:58",
Bot119,"McDewgle",easy,20,Completed,"Convoy","Convoy: Objective #1","1","22:11:03","22:12:27",
Bot119,"McDewgle",easy,20,Failed,"Convoy","Convoy: Objective #2","1","22:12:32","22:16:40",
Bot118,"MissingInAction",hard,30,Failed,"Вот Это Находка — Часть 2","Zone prapor_27_2","1","22:03:21","22:07:11",
Bot118,"MissingInAction",hard,30,Failed,"Рука помощи","Item Посылка для Прапора","1","22:07:16","22:10:31",
Bot118,"MissingInAction",hard,30,Failed,"Кровь войны. Часть 3","Zone bar_fuel3_2","1","22:10:36","22:12:14",
Bot118,"MissingInAction",hard,30,Completed,"Кровь войны. Часть 3","Zone bar_fuel3_3","1","22:12:44","22:14:39",
Bot118,"MissingInAction",hard,30,Pending,"Кровь войны. Часть 3","Zone bar_fuel3_1","1","22:15:09","N/A",
Bot118,"MissingInAction",hard,30,Active,"Scav Base","Scav Base: Objective #2","1","22:28:50","N/A",
Bot120,"Mugnum",hard,2,Failed,"Путь выживальщика. Запасливый","Zone huntsman_005_1","1","22:03:21","22:37:53",
Bot121,"Rena-chan",easy,45,Failed,"USEC Camp North","USEC Camp North: Objective #3","1","22:03:23","22:13:47",
Bot122,"ViolentAmbush",normal,34,Failed,"Убойный аргумент","Item Кейс Смотрителя","1","22:03:24","22:08:14",
Bot122,"ViolentAmbush",normal,34,Failed,"Устойчивый сигнал","Zone q14_8_4","1","22:08:20","22:29:31",
Bot123,"Terkoiz",normal,48,Failed,"Проверка. Часть 2","Zone meh_45_radio_area_mark_4","1","22:03:25","22:28:52",
Bot125,"TROMBON",hard,22,Failed,"Вот Это Находка — Часть 2","Zone prapor_27_2","1","22:04:00","22:35:31",
