Quest Name,Objective,Steps,Min Level,Max Level,First Step Position
Планы снабжения,"Item Защищенный кейс для документов 0052",1,13,31,"(-3.31, -1.48, -80.58)"
Секта. Часть 2,"Zone place_peacemaker_007_2_N2",1,18,41,"(195.98, 0.36, -7.24)"
Секта. Часть 2,"Zone place_peacemaker_007_2_N2_1",1,18,41,"(-88.70, 12.40, -717.61)"
Врачебная тайна. Часть 3,"Zone ter_015_area_1",1,20,45,"(-99.57, -14.52, 218.61)"
Врачебная тайна. Часть 3,"Item Проба крови",1,20,45,"(-94.55, -16.39, 218.46)"
Благодарность,"Zone place_THX_15",2,15,35,"(23.14, -16.18, 99.84)"
Осведомлён значит вооружён,"Zone place_skier_11_1",2,24,51,"(31.09, -13.82, 83.01)"
Ленд-лиз. Часть 1,"Item Контроллер мотора №1",1,25,53,"(232.86, -2.16, -69.80)"
Ленд-лиз. Часть 1,"Item Одноосный волоконно-оптический гироскоп №1",1,25,53,"(57.25, -2.63, -49.35)"
Прикормка,"Zone place_skier_12_3",2,24,51,"(-6.36, -1.48, -74.79)"
Кровь войны. Часть 3,"Zone bar_fuel3_1",1,30,60,"(356.65, -0.54, -87.21)"
Кровь войны. Часть 3,"Zone bar_fuel3_2",1,30,60,"(-325.44, 14.37, 25.17)"
Кровь войны. Часть 3,"Zone bar_fuel3_3",1,30,60,"(-200.46, 30.33, -211.73)"
Поручение,"Zone huntsman_001",1,2,11,"(-255.90, 8.54, 9.76)"
Поручение,"Item Зашифрованное сообщение",1,2,11,"(-256.73, 8.61, 7.90)"
Путь выживальщика. Запасливый,"Zone huntsman_005_1",2,2,11,"(-386.47, 3.29, 22.59)"
Путь выживальщика. Запасливый,"Zone huntsman_005_2",2,2,11,"(448.33, -14.12, 71.09)"
Поисковая миссия,"Zone pr_scout_col",1,5,17,"(195.57, 10.97, -595.81)"
Поисковая миссия,"Zone pr_scout_base",1,5,17,"(283.05, 23.02, -439.39)"
Захват аванпоста,"Zone prapor_27_2",1,42,82,"(-185.13, 1.07, 224.41)"
Проверка. Часть 2,"Zone meh_45_radio_area_mark_1",1,33,66,"(222.16, 20.18, -706.60)"
Проверка. Часть 2,"Zone meh_45_radio_area_mark_2",1,33,66,"(-156.09, 51.22, -273.32)"
Проверка. Часть 2,"Zone meh_45_radio_area_mark_3",1,33,66,"(-157.76, 45.95, -233.24)"
Проверка. Часть 2,"Zone meh_45_radio_area_mark_4",1,33,66,"(445.35, -14.20, 68.10)"
Ответная услуга,"Zone quest_zone_keeper5",2,33,66,"(-132.11, 32.60, -310.33)"
Ответная услуга,"Zone place_keeper5_1",2,33,66,"(289.41, 22.92, -438.04)"
Ответная услуга,"Zone place_keeper5_2",2,33,66,"(292.98, 22.92, -508.47)"
Устойчивый сигнал,"Zone q14_8_1",1,15,35,"(412.68, 12.89, -608.54)"
Устойчивый сигнал,"Zone q14_8_2",1,15,35,"(-208.48, 76.39, -279.10)"
Устойчивый сигнал,"Zone q14_8_3",1,15,35,"(-96.95, 13.05, -541.97)"
Устойчивый сигнал,"Zone q14_8_4",1,15,35,"(248.54, -10.44, 292.76)"
Устойчивый сигнал,"Zone q14_8_5",1,15,35,"(-447.44, 1.04, 249.05)"
Водохлёб. Курьер,"Zone place_2A2_unlock_3_woods",2,15,35,"(227.78, 20.18, -706.14)"
Малое предпринимательство. Часть 3,"Zone place_peacemaker_007_2_N2",2,0,99,"(195.98, 0.36, -7.24)"
Малое предпринимательство. Часть 3,"Zone place_peacemaker_007_2_N2_1",2,0,99,"(-88.70, 12.40, -717.61)"
Наблюдатель,"Zone NosQuests_8_wood_place",2,27,56,"(-218.23, 63.63, -225.43)"
Ответочка,"Zone NosQuests_11_wood_place",2,27,56,"(-220.74, 62.77, -218.98)"
Подчистить хвосты,"Zone nf2024_1",2,15,35,"(-512.12, 15.96, -178.90)"
Спецсвязь,"Zone Place_item_tools_woods",2,19,43,"(-120.09, -1.31, 400.61)"
Тарков не прощает ошибок,"Zone Woods_mine_quest",1,2,11,"(340.26, 18.61, -484.45)"
Что-то мне это напоминает...,"Zone Bear_in_car",2,25,53,"(-116.13, 21.81, -464.68)"
Обеспечить прикрытие,"Zone em_quest4_1",2,2,11,"(-534.19, 18.15, -208.04)"
Радикальные методы лечения,"Zone Halloween_zone_for_antivirus(woods)",2,2,11,"(-91.82, 7.65, -631.51)"
Задержка отправления. Часть 2,"Zone Depo_Zone_1",1,20,45,"(-616.66, 9.76, 150.90)"
Задержка отправления. Часть 2,"Zone Depo_Zone_2",1,20,45,"(-614.95, 8.34, 128.51)"
Задержка отправления. Часть 2,"Zone Depo_Zone_3",1,20,45,"(-687.45, 8.31, 105.03)"
Заказ со стороны,"Zone Reb_keeper",2,20,45,"(-57.60, 9.01, -495.94)"
Задержка поставки,"Zone Lost_caravan",1,20,45,"(-44.82, 20.22, -253.72)"
Закрыть небо,"Item Устройство радиоэлектронного подавления БПЛА КОСА",1,0,99,"(-54.81, 8.91, -495.82)"
Переиграть и уничтожить,"Zone Zone_for_RPG_1",2,0,99,"(-15.57, -3.67, 48.63)"
Переиграть и уничтожить,"Zone Zone_for_RPG_2",2,0,99,"(239.10, -1.81, -69.97)"
Переиграть и уничтожить,"Zone Zone_for_RPG_3",2,0,99,"(-92.67, 26.65, -380.00)"
Непыльная подработка,"Zone Case_rpg_keeper",2,20,45,"(413.53, -13.23, 241.69)"
Подстелить соломку,"Zone Bunker_enter",2,20,45,"(-285.02, 14.04, -416.73)"
Подстелить соломку,"Zone Pack_of_cartridges_1",2,20,45,"(-273.51, 7.51, -411.47)"
Подстелить соломку,"Zone Pack_of_cartridges_2",2,20,45,"(-269.67, 7.46, -412.13)"
Подстелить соломку,"Zone Pack_of_cartridges_3",2,20,45,"(-269.23, 7.46, -416.00)"
Убойный аргумент,"Item Кейс Смотрителя",1,20,45,"(409.43, -13.54, 240.53)"
Спрятать на видном месте,"Zone new_year_2024_market_woods",1,0,99,"(22.41, -3.58, 17.98)"
Незаконная рубка,"Zone kill_in_forest_woods",1,2,11,"(410.00, 12.21, -408.98)"
Рука помощи,"Item Посылка для Прапора",1,20,45,"(-618.59, 8.34, 128.15)"
Следующая зацепка,"Item Зашифрованное сообщение",1,10,25,"(-256.73, 8.61, 7.90)"
Сотрудничество важно,"Zone meh_45_radio_area_mark_4",2,5,17,"(445.35, -14.20, 68.10)"
Явные следы,"Zone ter_015_area_1",1,10,25,"(-99.57, -14.52, 218.61)"
Вот Это Находка — Часть 2,"Zone prapor_27_2",1,17,39,"(-185.13, 1.07, 224.41)"
Spawn Point Wander,"Spawn Point (370.67 17.26 -595.67)",1,0,99,"(370.67, 17.26, -595.67)"
Spawn Point Wander,"Spawn Point (487.36 -18.74 331.25)",1,0,99,"(487.36, -18.74, 331.25)"
Spawn Point Wander,"Spawn Point (-540.69 5.02 133.86)",1,0,99,"(-540.69, 5.02, 133.86)"
Spawn Point Wander,"Spawn Point (365.91 13.94 -698.07)",1,0,99,"(365.91, 13.94, -698.07)"
Spawn Point Wander,"Spawn Point (-540.65 5.02 188.06)",1,0,99,"(-540.65, 5.02, 188.06)"
Spawn Point Wander,"Spawn Point (-516.06 21.47 -20.07)",1,0,99,"(-516.06, 21.47, -20.07)"
Spawn Point Wander,"Spawn Point (-275.98 -1.09 334.30)",1,0,99,"(-275.98, -1.09, 334.30)"
Spawn Point Wander,"Spawn Point (410.78 -5.35 13.39)",1,0,99,"(410.78, -5.35, 13.39)"
Spawn Point Wander,"Spawn Point (-63.10 9.76 -587.32)",1,0,99,"(-63.10, 9.76, -587.32)"
Spawn Point Wander,"Spawn Point (-420.16 12.17 -509.62)",1,0,99,"(-420.16, 12.17, -509.62)"
Spawn Point Wander,"Spawn Point (-277.37 -1.50 329.74)",1,0,99,"(-277.37, -1.50, 329.74)"
Spawn Point Wander,"Spawn Point (-528.91 2.37 233.67)",1,0,99,"(-528.91, 2.37, 233.67)"
Spawn Point Wander,"Spawn Point (-155.17 -2.07 181.17)",1,0,99,"(-155.17, -2.07, 181.17)"
Spawn Point Wander,"Spawn Point (368.65 -1.63 -81.74)",1,0,99,"(368.65, -1.63, -81.74)"
Spawn Point Wander,"Spawn Point (-650.06 7.50 174.38)",1,0,99,"(-650.06, 7.50, 174.38)"
Spawn Point Wander,"Spawn Point (-522.77 -2.59 218.57)",1,0,99,"(-522.77, -2.59, 218.57)"
Spawn Point Wander,"Spawn Point (-293.67 28.95 -199.67)",1,0,99,"(-293.67, 28.95, -199.67)"
Spawn Point Wander,"Spawn Point (318.82 -8.44 352.05)",1,0,99,"(318.82, -8.44, 352.05)"
Spawn Point Wander,"Spawn Point (-615.00 14.66 -328.99)",1,0,99,"(-615.00, 14.66, -328.99)"
Spawn Point Wander,"Spawn Point (-266.51 6.88 -406.32)",1,0,99,"(-266.51, 6.88, -406.32)"
Spawn Point Wander,"Spawn Point (-519.45 12.63 -156.30)",1,0,99,"(-519.45, 12.63, -156.30)"
Spawn Point Wander,"Spawn Point (518.41 -20.94 264.30)",1,0,99,"(518.41, -20.94, 264.30)"
Spawn Point Wander,"Spawn Point (-420.16 11.28 -519.41)",1,0,99,"(-420.16, 11.28, -519.41)"
Spawn Point Wander,"Spawn Point (471.95 -18.38 229.48)",1,0,99,"(471.95, -18.38, 229.48)"
Spawn Point Wander,"Spawn Point (-352.33 -8.29 132.14)",1,0,99,"(-352.33, -8.29, 132.14)"
Spawn Point Wander,"Spawn Point (-473.30 22.08 -218.39)",1,0,99,"(-473.30, 22.08, -218.39)"
Spawn Point Wander,"Spawn Point (-265.82 10.58 -632.22)",1,0,99,"(-265.82, 10.58, -632.22)"
Spawn Point Wander,"Spawn Point (-685.44 8.27 102.09)",1,0,99,"(-685.44, 8.27, 102.09)"
Spawn Point Wander,"Spawn Point (231.43 26.17 -314.43)",1,0,99,"(231.43, 26.17, -314.43)"
Spawn Point Wander,"Spawn Point (-354.73 0.95 239.63)",1,0,99,"(-354.73, 0.95, 239.63)"
Spawn Point Wander,"Spawn Point (-54.11 8.88 -579.44)",1,0,99,"(-54.11, 8.88, -579.44)"
Spawn Point Wander,"Spawn Point (-530.77 13.78 -404.13)",1,0,99,"(-530.77, 13.78, -404.13)"
Spawn Point Wander,"Spawn Point (370.96 -1.82 -73.28)",1,0,99,"(370.96, -1.82, -73.28)"
Spawn Point Wander,"Spawn Point (-518.69 7.28 145.43)",1,0,99,"(-518.69, 7.28, 145.43)"
Spawn Point Wander,"Spawn Point (-256.77 26.78 -448.29)",1,0,99,"(-256.77, 26.78, -448.29)"
Spawn Point Wander,"Spawn Point (-611.65 8.12 160.21)",1,0,99,"(-611.65, 8.12, 160.21)"
Spawn Point Wander,"Spawn Point (-331.47 18.53 -138.73)",1,0,99,"(-331.47, 18.53, -138.73)"
Spawn Point Wander,"Spawn Point (-702.72 8.19 100.77)",1,0,99,"(-702.72, 8.19, 100.77)"
Spawn Point Wander,"Spawn Point (-2.31 -1.44 -74.57)",1,0,99,"(-2.31, -1.44, -74.57)"
Spawn Point Wander,"Spawn Point (94.85 6.81 -203.72)",1,0,99,"(94.85, 6.81, -203.72)"
Spawn Point Wander,"Spawn Point (366.90 18.19 -598.20)",1,0,99,"(366.90, 18.19, -598.20)"
Spawn Point Wander,"Spawn Point (226.43 -8.70 197.50)",1,0,99,"(226.43, -8.70, 197.50)"
