Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot14,"OXIdiezd",normal,23,Completed,"Сафари на тигра","Zone place_peacemaker_002_N3","1","22:34:37","22:36:02",
Bot14,"OXIdiezd",normal,23,Active,"Сафари на тигра","Zone place_peacemaker_002_N1","1","22:36:32","N/A",
Bot16,"gaylatea",easy,25,Failed,"Реагент. Часть 1","Zone bomj_place","1","22:34:37","22:36:22",
Bot15,"witek",normal,31,Completed,"Подбрасываем улики - Часть 2","Item Ложный флеш-накопитель","1","22:34:37","22:40:45",
Bot15,"witek",normal,31,Active,"Ближе к народу","Item Журнал записей грузчиков","1","22:40:50","N/A",
Bot17,"Spring",easy,31,Completed,"Antenna","Antenna: Objective #1","1","22:34:39","22:41:35",
Bot17,"Spring",easy,31,Active,"Секта. Часть 2","Zone place_peacemaker_007_N1","1","22:41:40","N/A",
Bot18,"TinglePlayerParkov",easy,31,Pending,"Dorms 2 Story Rush","Dorms 2 Story Rush: Objective #1","1","22:34:39","N/A",
Bot19,"Myksa",easy,39,Pending,"Dorms 2 Story Rush","Dorms 2 Story Rush: Objective #1","1","22:34:40","N/A",
Bot28,"Crow",easy,36,Failed,"Что-то мне это напоминает...","Zone zone_vedro","1","22:36:31","22:40:02",
Bot28,"Crow",easy,36,Completed,"Что-то мне это напоминает...","Zone zone_battlefield","2","22:40:04","22:41:11",
Bot28,"Crow",easy,36,Pending,"Что-то мне это напоминает...","Zone zone_unity","1","22:41:16","N/A",
Bot29,"Logical Solutions",easy,28,Pending,"Что-то мне это напоминает...","Zone zone_vedro","1","22:36:38","N/A",
[Not Spawned],"Lavax",easy,18,,,,,,,
[Not Spawned],"Эльдар Толстых",normal,1,,,,,,,
[Not Spawned],"Сильвестр Торпеда",normal,1,,,,,,,
[Not Spawned],"Николай Мистер",normal,1,,,,,,,
[Not Spawned],"Лёва Мочалка",normal,1,,,,,,,
[Not Spawned],"Эльдар Баклажан",easy,1,,,,,,,
[Not Spawned],"Марк Потрошитель",normal,1,,,,,,,
[Not Spawned],"Федя Револьвер",hard,1,,,,,,,
[Not Spawned],"Радик Байзальбоп",normal,1,,,,,,,
[Not Spawned],"Боря Порноатаман",normal,1,,,,,,,
[Not Spawned],"Ростислав Тиктокер",normal,1,,,,,,,
[Not Spawned],"Юра Айронмэн",impossible,1,,,,,,,
[Not Spawned],"Созон Летёха",impossible,1,,,,,,,
[Not Spawned],"Иван Базай",impossible,1,,,,,,,
[Not Spawned],"Тима Леденец",normal,1,,,,,,,
[Not Spawned],"Баха Таракан",easy,1,,,,,,,
[Not Spawned],"Тёма Слоупок",hard,1,,,,,,,
[Not Spawned],"Тёма Ботан",impossible,1,,,,,,,
[Not Spawned],"Юстин Рэмба",normal,1,,,,,,,
