Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot123,"crustyselenium_",normal,24,Failed,"Садоводство. Часть 1","Zone place_SADOVOD_01_2","1","23:57:03","23:58:50",
Bot124,"Tyfon",normal,13,Failed,"Скаут","Zone place_pacemaker_SCOUT_01","1","23:57:03","23:59:20",
Bot126,"Snofielf",normal,13,Failed,"Садоводство. Часть 1","Zone place_SADOVOD_01_2","1","23:57:03","23:58:24",
Bot127,"Bobitec",normal,32,Failed,"Подчистить хвосты","Item Лабораторный журнал","1","23:57:03","23:57:14",
Bot128,"Ninjaweb",normal,16,Failed,"Садоводство. Часть 1","Zone place_SADOVOD_01_2","1","23:57:04","23:57:17",
Bot129,"!Komino Style!",normal,45,Failed,"Что-то мне это напоминает...","Zone zone_sapper","1","23:57:04","23:57:16",
Bot132,"Володарчик Блатной",hard,1,Completed,"Dead Scav Room","Dead Scav Room: Objective #1","1","23:59:35","00:00:13",
Bot132,"Володарчик Блатной",hard,1,Active,"Crates Near Lower Platform","Crates Near Lower Platform: Objective #1","2","00:00:18","N/A",
Bot133,"Мирон Кукуруза",easy,1,Failed,"Medical Office","Medical Office: Objective #1","1","23:59:56","00:00:37",
Bot133,"Мирон Кукуруза",easy,1,Completed,"Medical Office","Medical Office: Objective #2","1","00:00:42","00:00:53",
Bot133,"Мирон Кукуруза",easy,1,Active,"Basement Intersection Camping","Basement Intersection Camping: Objective #1","1","00:00:58","N/A",
Bot134,"Родион Бухгалтер",easy,1,Completed,"Bathroom Key Spawns","Bathroom Key Spawns: Objective #2","1","00:00:26","00:01:24",
Bot134,"Родион Бухгалтер",easy,1,Pending,"Bathroom Key Spawns","Bathroom Key Spawns: Objective #1","1","00:01:29","N/A",
Bot135,"Васян Русский",normal,1,Active,"Med Tent","Med Tent: Objective #1","1","00:00:57","N/A",
[Not Spawned],"Мстислав Обман",normal,1,,,,,,,
[Not Spawned],"Зураб Молодой",normal,1,,,,,,,
[Not Spawned],"Мишган Бешенный",normal,1,,,,,,,
[Not Spawned],"Гарик Торец",normal,1,,,,,,,
[Not Spawned],"Паша Красавец",easy,1,,,,,,,
[Not Spawned],"Фима Американец",easy,1,,,,,,,
[Not Spawned],"Владик Дряхлый",normal,1,,,,,,,
[Not Spawned],"Глеб Хромой",normal,1,,,,,,,
